full_prof_name,class_name
y-shirai,mat-sci-282
c-m-johnson,math-1
c-m-johnson,math-1
paige-greene,math-3a
-wu,math-31a
None,math-31a
None,math-31a
None,math-31a
haoren-xiong,math-31b
changying-ding,math-31b
None,math-31b
jose-ignacio-yanez-etcheberry,math-32a
None,math-32a
li-li,math-32a
gary-shin,math-32a
tyler-arant,honors-lec-1
ali-kashefi,math-32b
None,math-32b
None,math-m32t
catherine-opie,math-33a
yang-yang,math-33a
tom-gannon,math-33a
None,math-33b
None,math-33b
weng-kee-wong,math-42
oleg-gleizer,math-61
colleen-robichaux,math-61
None,math-70
tyler-arant,math-95
sucharit-sarkar,math-100
heather-dallas,math-105a
wern-yeen-yeong,math-110a
burt-totaro,honors-lec-1
tuan-do,math-115a
tuan-do,math-115a
jan-nienhaus,math-115a
mark-stephen-ebert,math-115a
None,math-115a
mark-stephen-ebert,math-115a
None,math-115a
gary-shin,math-115a
wern-yeen-yeong,math-115a
w.j.-barminski,honors-lec-1
guido-montufar-cuartas,math-118
konstantinos-varvarezos,math-120a
None,math-131a
None,math-131a
konstantinos-varvarezos,math-131a
None,math-131a
xu-liu,math-131a
linda-tseng,med-m260a
thomas-kosakowski,med-m261
mina-soroosh,mimg-101
tejas-ashok-bouklas,mimg-103al
zhou-min,mimg-105
nickolas-hoffmann,mimg-m178
a-a-gooch,mil-sci-11
edward-r.b.-mccabe,mil-sci-21
edward-r.b.-mccabe,mil-sci-131
eric-sheppard,mil-sci-141
david-a-nathanson,m-pharm-237
-wu,m-pharm-291
p-p-yee,mcd-bio-50
None,mcd-bio-60
p-p-yee,mcd-bio-104al
j-chen,mcd-bio-138
william-lowry,mcd-bio-144
darlene-goldstein,mcd-bio-146
diana-rigueur,mcd-bio-165a
natik-piri,mcd-bio-m175a
dante-de-silva,musc-3
noah-meites,musc-20a
None,musc-20a
hitomi-oba,musc-21a
None,musc-21a
k.-noel-hearn,musc-50
david-macfadyen,msc-ind-1
None,msc-ind-2
None,msc-ind-10a
jack-beard,msc-ind-107a
elizabeth-r-upton,musclg-12w
rachel-rose-knapp,musclg-m112
k-a-brown,musclg-125a
caitlin-carlos,musclg-128
j-c-johnson,musclg-m137
aron-p-walker,nav-sci-1a
jonathan-david-paul-laredo,nav-sci-1b
perry-daniel,nav-sci-102c
None,nr-east-65
jesse-b-o'dell,neurbio-m200f
elena-nicole-dominguez,neurosc-10
natik-piri,neurosc-m101a
janel-le-belle,neurosc-102
william-grisham,neurosc-m116a
william-grisham,neurosc-m116a
william-grisham,neurosc-m116a
william-grisham,neurosc-m116a
william-grisham,neurosc-m116a
william-grisham,neurosc-m116a
eran-zaidel,neurosc-m119l
christopher-s-colwell,neurosc-cm123
weihong-ge,neurosc-150
jesse-b-o'dell,neuro-m202
christopher-s-colwell,neuro-cm223
benjamin-m-ellingson,neuro-265
None,nursing-10
su-jung,nursing-50
None,nursing-54b
wilson-chen,nursing-150a
beth-koser-schwartz,nursing-152a
beth-koser-schwartz,nursing-152b
barbara-arganda-roces,nursing-161
linda-ruhi-mahjoub,nursing-162c
None,nursing-174
carol-lynn-w-cunningham,nursing-200
betty-l-chang,nursing-202
e.a.-whipple,nursing-204
None,nursing-205b
su-jung,nursing-208
dorothy-wiley,nursing-210a
david-hamilton,nursing-212
manpreet-sidhu,nursing-216c
denice-economou,nursing-220
None,nursing-230a
xin-an,nursing-231
nancy-mcgrath,nursing-237a
lakeisha-shatara-falls,nursing-239c
None,nursing-250
grace-e-helton,philos-7
kareem-e-khalifa,philos-8
jingwen-yao,philos-10
steven-levy,philos-31
adam-crager,philos-100a
lawrence-g-selna,philos-m101a
lillie-hsu,philos-117
janelle-dewitt,philos-c119
kareem-e-khalifa,philos-c123
eric-r.-scerri,philos-m124
None,philos-138
janelle-dewitt,philos-152a
None,philos-155a
c-e-taylor,philos-168
None,philos-171
lillie-hsu,philos-185
anand-jayprakash-vaidya,philos-186
grace-e-helton,philos-m187
kareem-e-khalifa,philos-c236
michael-mcnitt-gray,pbmed-205
james-m.-lamb,pbmed-216
allan-mackenzie-graham,pbmed-218
hao-cao,pbmed-231
mary-roberts,pol-sci-6
natasha-piano,pol-sci-10
ying-ying-meng,pol-sci-20
michael-s-chwe,pol-sci-30
christopher-n-tausanovitch,pol-sci-40
michael-thies,pol-sci-50
natasha-piano,pol-sci-112a
cody-trojan,pol-sci-114a
john-gavin-branstetter,pol-sci-116a
davide-panagia,pol-sci-116b
cody-trojan,pol-sci-119
john-gavin-branstetter,pol-sci-119
stuart-w-pike,pol-sci-120a
amy-lohmann,pol-sci-122c
mary-roberts,pol-sci-124a
barrett-o'neill,pol-sci-125a
perry-daniel,pol-sci-126
perry-daniel,pol-sci-137a
stuart-w-pike,pol-sci-139
lee-galuska,pol-sci-139
None,pol-sci-139
scott-c-james,pol-sci-140b
christopher-baylor,pol-sci-m141a
christopher-baylor,pol-sci-141b
brian-d-taylor,psyctry-19
alexander-korb,psyctry-79
None,psyctry-79
None,psyctry-79
None,psyctry-79
None,psyctry-79
None,psyctry-79
None,psyctry-79
None,psyctry-79
None,psyctry-79
patricia-walshaw,psyctry-292
gail-e.-wyatt,psyctry-405
thomas-sherrer,pub-aff-10
gary-m-segura,pub-aff-50
m-phillips,pub-aff-60
latoya-small,pub-aff-80
michael-lens,pub-aff-m109
amada-armenta,pub-aff-116
m-phillips,pub-aff-m117dx
ron-astor,pub-aff-m125
emily-hotez,pub-aff-128
rebecca-e-crane,pub-aff-148
william-herrera,pub-aff-m159
steven-e-zipperstein,pub-aff-180
rebecca-e-crane,pub-aff-187ax
robert-j-kim-farley,pub-hlt-50a
shira-shafir,pub-hlt-c150
shira-shafir,pub-hlt-c201
qiuli-levin,pub-hlt-490
catherine-bonesho,relign-m10
simon-j-joseph,relign-11
ryan-gillespie,relign-55
stephanie-balkwill,relign-m60a
sung-deuk-oak,relign-m60c
jeremy-smoak,relign-m182a
None,soc-sc-402
None,soc-wlf-202a
laura-brinderson,soc-wlf-202a
mitchell-t-maki,soc-wlf-210a
ron-astor,soc-wlf-210a
hector-palencia,soc-wlf-210a
ron-astor,soc-wlf-210a
monica-blauner,soc-wlf-210a
tatiana-londoño,soc-wlf-211a
None,soc-wlf-211a
tatiana-londoño,soc-wlf-211a
courtney-demko,soc-wlf-211a
a.m.-james,soc-wlf-211a
None,soc-wlf-214a
None,soc-wlf-214a
ron-astor,soc-wlf-229a
jene-moio,soc-wlf-231a
jene-moio,soc-wlf-231a
q.-li,soc-wlf-231a
None,soc-wlf-231e
gerardo-ramirez,soc-wlf-231f
gerardo-ramirez,soc-wlf-231f
jene-moio,soc-wlf-241j
None,soc-wlf-m249a
lene-levy-storms,soc-wlf-260a
courtney-demko,soc-wlf-260a
leyla-karimli,soc-wlf-260a
jene-moio,soc-wlf-260a
a.m.-james,soc-wlf-290e
julian-martinez-m.d.,soc-wlf-m290m
michael-scroggins,soc-gen-5
michelle-rensel,soc-gen-m71a
b.-vaughn,soc-gen-m72a
patrick-allard,soc-gen-105b
scott-carr,soc-gen-108
abigail-bigham,soc-gen-m126
christopher-kelty,soc-gen-131
michelle-rensel,soc-gen-m144
chien-ling-zeleny,soc-gen-180
edit-villarreal,sociol-1
deanna-m-needell-hunter,sociol-m5
yu-yu-lin,sociol-20
daria-bahtina,sociol-20
b.-vaughn,sociol-m72a
mark-jepson,sociol-101
jonathan-sigmon,sociol-101
jonathan-sigmon,sociol-102
isaac-speer,sociol-110
christopher-wegemer,sociol-111
steven-e-clayman,sociol-cm124a
richard-andalon,sociol-131
karolina-l-placek,sociol-132
None,sociol-133
None,sociol-134
michelle-rensel,sociol-m144
None,sociol-147a
jason-sexton,sociol-147a
christopher-j-herring,sociol-158
None,sociol-m161
abigail-c-saguy,sociol-m162
None,sociol-172
gabriel-h-rossman,sociol-173
ruby-arreguin,span-1
javier-diaz,span-1
m.-f-hawthorne,span-1
shengxin-jia,span-1
alejandro-morales,span-1
m.r.-phillips,span-1
None,span-1
None,span-1
m.r.-phillips,span-2
iker-arranz-otaegui,span-2
j-j-murphy,span-2
f-j-villegas,span-2
None,span-3
carlota-suhr,span-3
carlota-suhr,span-3
gelsys-maria-garcia-lorenzo,span-3
gelsys-maria-garcia-lorenzo,span-3
gelsys-maria-garcia-lorenzo,span-3
None,span-4
m.r.-phillips,span-5
c-fernandez,span-7a
None,span-7a
o-cuevas,span-7b
None,span-11a
iker-arranz-otaegui,span-12a
alvaro-molina,span-25
elaine-tobin,span-25
None,span-25
michelle-luna,span-25
None,span-27
None,span-27
aina-soley-mateu,span-m35
patricia-arroyo-calderon,span-44
nohora-alejandra-arrieta-fernandez,span-119
j-marturano,span-119
john-c-dagenais,span-130
pierre-rodriguez,span-135
None,span-150
elaine-tobin,span-150
antonio-c-quicoli,span-160
None,span-160
rodrigo-ranero-echeverria,span-160
jose-de-la-torre,span-170
marty-g-cohen,span-180
maria-cha,stats-10
maria-cha,stats-10
susan-suh,stats-10
susan-suh,stats-10
michael-tsiang,stats-10
None,stats-10
None,stats-13
None,stats-13
d-kim,stats-13
d-kim,stats-13
None,stats-13
stephanie-l-gould,stats-15
thomas-maierhofer,stats-20
thomas-maierhofer,stats-20
tzu-chin-chen,stats-21
jocelyn-ho,stats-100a
jocelyn-ho,stats-100a
yang-wang,stats-100a
yang-wang,stats-100a
nicolas-christou,stats-100b
michael-tsiang,stats-100c
xu-liu,stats-101c
xu-liu,stats-101c
akram-m-almohalwas,stats-101c
akram-m-almohalwas,stats-101c
-wu,stats-102c
-wu,stats-102c
tzu-chin-chen,stats-102c
mahtash-m-esfandiari,stats-112
vivian-lew,stats-140xp
vivian-lew,stats-140xp
dave-zes,stats-140xp
dave-zes,stats-140xp
g-cheng,stats-c161
None,stats-c180
nicolas-christou,stats-c183
guido-montufar-cuartas,stats-200a
xu-liu,stats-201a
frederick-paik-schoenberg,stats-202a
None,stats-203
q.-li,stats-212
mark-handcock,stats-218
-wu,stats-m231a
onyebuchi-arah,stats-m243
g-cheng,stats-c261
nicolas-christou,stats-c283
None,theater-12
brian-d-taylor,theater-13
None,theater-14a
hans-vermy,theater-101a
michael-lens,urbn-pl-m120
None,urbn-pl-m168
michael-osman,urbn-pl-m201
jonathan-m-zasloff,urbn-pl-202
None,urbn-pl-m208a
vinit-mukhija,urbn-pl-219
kian-goh,urbn-pl-219
michael-osman,urbn-pl-220a
marques-augusta-vestal,urbn-pl-222a
None,urbn-pl-228
None,urbn-pl-228
richard-france,urbn-pl-249
brian-d-taylor,urbn-pl-m250
