class_name,class_dates,class_times,year,semester
Communication (COMM) 1 - Principles of Oral Communication Lec 7,TR,2pm-3:50pm,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 8,MW,4pm-5:50pm,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 9,MW,6pm-7:50pm,2024,fall
Communication (COMM) 1 - Principles of Oral Communication Lec 10,TR,6pm-7:50pm,2024,fall
Communication (COMM) 10 - Introduction to Communication Lec 1,TR,4pm-5:50pm,2024,fall
Communication (COMM) M72A - Sex from Biology to Gendered Society Lec 1,TR,2pm-3:15pm,2024,fall
Communication (COMM) 101 - Freedom of Communication Lec 1,R,5pm-7:50pm,2024,fall
Communication (COMM) 102 - Principles of Argumentation Lec 1,MW,4pm-5:50pm,2024,fall
"Communication (COMM) 104 - Rumors, Gossip, and Urban Legends in Journalism Lec 1",TR,2pm-3:15pm,2024,fall
Communication (COMM) 108 - Communication and Identity Lec 1,TR,11am-12:15pm,2024,fall
Communication (COMM) M117 - Negotiation Lec 1,F,12pm-2:50pm,2024,fall
Communication (COMM) M123 - Social Cognition Lec 1,MW,2pm-3:15pm,2024,fall
Communication (COMM) M144A - Conversational Structures I Lec 1,MW,11am-12:15pm,2024,fall
Communication (COMM) 146 - Evolution of Mass Media Images Lec 1,MW,11am-12:15pm,2024,fall
Communication (COMM) M147 - Sociology of Mass Communication Lec 1,MW,3:30pm-4:45pm,2024,fall
Communication (COMM) 150 - Methodologies in Communication Research Lec 1,TR,2pm-3:50pm,2024,fall
Communication (COMM) 151 - Computer-Mediated Communication Lec 1,MWF,2pm-2:50pm,2024,fall
Communication (COMM) 152 - Analysis of Communication Effects Lec 1,TR,2pm-3:15pm,2024,fall
Communication (COMM) 158 - Python for Social Sciences Lec 1,MW,3:30pm-4:45pm,2024,fall
Communication (COMM) 160 - Political Communication Lec 1,R,2pm-4:50pm,2024,fall
Communication (COMM) M165 - Agitational Communication Lec 1,W,5pm-7:50pm,2024,fall
Communication (COMM) 173 - Affect and Emotion in Political Communication Lec 1,MW,11am-12:15pm,2024,fall
Communication (COMM) 185 - Field Studies in Communication Lec 1,T,5pm-7:50pm,2024,fall
Communication (COMM) 187 - Ethical and Policy Issues in Institutions of Mass Communication Lec 1,MW,9:30am-10:45am,2024,fall
Communication (COMM) 188A - Variable Topics in Mass Communication and Media Institutions Lec 2,TR,2pm-3:15pm,2024,fall
Communication (COMM) 188A - Variable Topics in Mass Communication and Media Institutions: Narrative of Nonscripted Television Lec 1,T,T,2024,fall
Community Engagement and Social Change (CESC) 50XP - Engaging Los Angeles Lec 1,M,4pm-5:50pm,2024,fall
Comparative Literature (COM LIT) 1H - Health Humanities Lec 1,T,R,2024,fall
