class_name,class_dates,class_times,class_professor,year,semester,prof_rating,bruin_walk_url
Biomedical Research (BMD RES) 5HB - Biomedical Research: Essential Skills and Concepts Lec 1,TR,11am-12:15pm,"Turlo, K.A.",2024,fall,4.9,https://bruinwalk.com/professors/kirsten-turlo/bmd-res-5hb/
Biostatistics (BIOSTAT) 120 - Biostatistics in Public Health Lec 1,TR,1pm-2:50pm,"Brookmeyer, R.S.",2024,fall,N/A,https://bruinwalk.com/professors/ronald-brookmeyer/biostat-120/
Biostatistics (BIOSTAT) 200A - Methods in Biostatistics A Lec 1,TR,8am-9:50am,"Klomhaus, A.",2024,fall,N/A,https://bruinwalk.com/professors/alexandra-marie-varnum-klomhaus/biostat-200a/
Biostatistics (BIOSTAT) 201A - Introduction to Biostatistics Lec 1,MW,2:30pm-4:20pm,"Lee, M.L.",2024,fall,N/A,https://bruinwalk.com/professors/m.l.-wissner
Biostatistics (BIOSTAT) 203A - Introduction to Data Management and Statistical Computing Lec 1,MW,1pm-2:20pm,"Kim, G.J.",2024,fall,N/A,https://bruinwalk.com/professors/kim-g
Biostatistics (BIOSTAT) 211A - Topics in Applied Regression Lec 1,MWF,9am-9:50am,"Belin, T.R.",2024,fall,N/A,https://bruinwalk.com/professors/thomas-r-belin
Biostatistics (BIOSTAT) 213 - Introduction to Computational Methods in Biostatistics Lec 1,MW,10am-11:50am,"Ramirez, C.M.",2024,fall,N/A,https://bruinwalk.com/professors/iris-m-ramirez
Biostatistics (BIOSTAT) M215 - Survival Analysis Lec 1,TR,10am-11:50am,"Li, G.",2024,fall,N/A,https://bruinwalk.com/professors/li-li
Biostatistics (BIOSTAT) 216 - Mathematical Methods for Biostatistics Lec 1,TR,10am-11:50am,TA,2024,fall,N/A,N/A
Biostatistics (BIOSTAT) M236 - Longitudinal Data Lec 1,TR,1pm-2:50pm,"Weiss, R.",2024,fall,N/A,https://bruinwalk.com/professors/michele-weiss
Biostatistics (BIOSTAT) M403B - Computer Management and Analysis of Health Data Using SAS Lec 1,MW,3pm-5:50pm,TA,2024,fall,N/A,N/A
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 1,MWF,10am-10:50am,"Lavelle, L.",2024,fall,3.6,https://bruinwalk.com/professors/laurence-lavelle/chem-14a/
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 2,MWF,1pm-1:50pm,"Lavelle, L.",2024,fall,3.6,https://bruinwalk.com/professors/laurence-lavelle/chem-14a/
Chemistry and Biochemistry (CHEM) 14A - General Chemistry for Life Scientists I Lec 3,MWF,3pm-3:50pm,"Ow, F.P.",2024,fall,4.2,https://bruinwalk.com/professors/franklin-ow/chem-14a/
Chemistry and Biochemistry (CHEM) 14B - General Chemistry for Life Scientists II Lec 1,MWF,12pm-12:50pm,"Scerri, E.R.",2024,fall,N/A,https://bruinwalk.com/professors/eric-r.-scerri
Chemistry and Biochemistry (CHEM) 14BL - General and Organic Chemistry Laboratory I Lec 1,T,8am-8:50am,"Pang, J.",2024,fall,3.8,https://bruinwalk.com/professors/johnny-pang/chem-14bl/
Chemistry and Biochemistry (CHEM) 14BL - General and Organic Chemistry Laboratory I Lec 2,R,8am-8:50am,"Pang, J.",2024,fall,3.8,https://bruinwalk.com/professors/johnny-pang/chem-14bl/
Chemistry and Biochemistry (CHEM) 14C - Structure of Organic Molecules Lec 1,MWF,12pm-12:50pm,"Riu, M.Y.",2024,fall,N/A,https://bruinwalk.com/professors/m-y-iu
Chemistry and Biochemistry (CHEM) 14C - Structure of Organic Molecules Lec 2,MWF,2pm-2:50pm,"Riu, M.Y.",2024,fall,N/A,https://bruinwalk.com/professors/m-y-iu
Chemistry and Biochemistry (CHEM) 14CL - General and Organic Chemistry Laboratory II Lec 1,T,8am-8:50am,"Henary, M.",2024,fall,3.0,https://bruinwalk.com/professors/maher-m-henary/chem-14cl/
Chemistry and Biochemistry (CHEM) 14D - Organic Reactions and Pharmaceuticals Lec 1,MWF,9am-9:50am,"Pham, H.V.",2024,fall,N/A,https://bruinwalk.com/professors/v-h-pham
Chemistry and Biochemistry (CHEM) 14D - Organic Reactions and Pharmaceuticals Lec 2,MWF,11am-11:50am,"Pham, H.V.",2024,fall,N/A,https://bruinwalk.com/professors/v-h-pham
Chemistry and Biochemistry (CHEM) 17 - Chemical Principles Lec 1,MWF,4pm-4:50pm,"Reslan, R.",2024,fall,4.8,https://bruinwalk.com/professors/randa-reslan/chem-17/
Chemistry and Biochemistry (CHEM) 20A - Chemical Structure Lec 1,MWF,8am-8:50am,"Kavner, A.",2024,fall,2.8,https://bruinwalk.com/professors/abby-kavner/chem-20a/
Chemistry and Biochemistry (CHEM) 20A - Chemical Structure Lec 2,MWF,11am-11:50am,"Kavner, A.",2024,fall,2.8,https://bruinwalk.com/professors/abby-kavner/chem-20a/
Chemistry and Biochemistry (CHEM) 20AH - Chemical Structure (Honors) Lec 1,MWF,12pm-12:50pm,"Narang, P.",2024,fall,N/A,https://bruinwalk.com/professors/prineha-narang
Chemistry and Biochemistry (CHEM) 30A - Organic Chemistry I: Structure and Reactivity Lec 1,MWF,12pm-12:50pm,"Shao, H.",2024,fall,N/A,https://bruinwalk.com/professors/huiling-shao
Chemistry and Biochemistry (CHEM) 30AL - General Chemistry Laboratory II Lec 1,M,9am-9:50am,TA,2024,fall,N/A,N/A
"Chemistry and Biochemistry (CHEM) 30B - Organic Chemistry II: Reactivity, Synthesis, and Spectroscopy Lec 1",MWF,2pm-2:50pm,"Ow, F.P.",2024,fall,5.0,https://bruinwalk.com/professors/franklin-ow/chem-30b/
